Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
18450,fbuyolo,,2,0,2,2,0,2,0,0,0,0,0
18451,Europe_Granada,,4,0,4,4,0,4,0,0,0,0,1
18457,jonworth,,4,0,4,4,0,4,0,0,0,0,1
18459,cdesevilla,,3,0,3,3,0,3,0,0,0,0,1
18460,EuropaCiudadana,,3,0,3,3,0,3,0,0,0,0,1
18461,InterregYouth,,2,0,2,2,0,2,0,0,0,0,3
18462,PoliticoRyan,,3,0,3,3,0,3,0,0,0,0,1
18463,javilopezEU,,3,0,3,3,0,3,0,0,0,0,1
18466,esc_espana,,3,0,3,3,0,3,0,0,0,0,0
18469,PabloMartn73,,2,0,2,2,0,2,0,0,0,0,4
18470,miguelmilan,,2,0,2,2,0,2,0,0,0,0,1
18471,yasemoseuropeos,,4,0,4,4,0,4,0,0,0,0,1
18473,alvarocid97,,2,0,2,2,0,2,0,0,0,0,1
18475,EutopiaUni,,3,0,3,3,0,3,0,0,0,0,1
18476,bQuilez,,2,0,2,2,0,2,0,0,0,0,1
18477,PrensaCE,,3,0,3,3,0,3,0,0,0,0,1
18478,CCEuropa,,3,0,3,3,0,3,0,0,0,0,1
18479,MariaenEUropa,,2,0,2,2,0,2,0,0,0,0,2
18481,Leargas,,3,0,3,3,0,3,0,0,0,0,1
18482,LuceasPi,,2,0,2,2,0,2,0,0,0,0,1
18483,Maria_Tejero,,2,0,2,2,0,2,0,0,0,0,5
18484,IMendezdeVigo,,3,0,3,3,0,3,0,0,0,0,1
18485,JulioBasulto_DN,,3,0,3,3,0,3,0,0,0,0,5
18486,SaskiaSassen,,2,0,2,2,0,2,0,0,0,0,3
18487,uniovi_info,,3,0,3,3,0,3,0,0,0,0,4
18488,manueljabois,,3,0,3,3,0,3,0,0,0,0,2
18489,dlacalle,,2,0,2,2,0,2,0,0,0,0,8
18490,SenSanders,,3,0,3,3,0,3,0,0,0,0,2
18491,martin_caparros,,2,0,2,2,0,2,0,0,0,0,1
18492,juan_revenga,,3,0,3,3,0,3,0,0,0,0,5
18494,Andresmourenza,,2,0,2,2,0,2,0,0,0,0,5
18495,CidobBarcelona,,3,0,3,3,0,3,0,0,0,0,2
18498,NachoCarretero,,2,0,2,2,0,2,0,0,0,0,6
18499,mikelayestaran,,2,0,2,2,0,2,0,0,0,0,0
18500,jmmulet,,3,0,3,3,0,3,0,0,0,0,4
18502,JUc3m,,2,0,2,2,0,2,0,0,0,0,2
18507,solerlecha,,2,0,2,2,0,2,0,0,0,0,1
18508,ezgibasaran,,3,0,3,3,0,3,0,0,0,0,2
18509,fgeerdink,,2,0,2,2,0,2,0,0,0,0,2
18510,MarcGuillet1,,2,0,2,2,0,2,0,0,0,0,7
18511,truthout,,2,0,2,2,0,2,0,0,0,0,4
18512,yanisvaroufakis,,3,0,3,3,0,3,0,0,0,0,1
18515,Ruiz_Noticias,,3,0,3,3,0,3,0,0,0,0,0
18516,OED_Olivenza,,2,0,2,2,0,2,0,0,0,0,4
18518,ramonlobo,,3,0,3,3,0,3,0,0,0,0,5
18520,BernardodMiguel,,2,0,2,2,0,2,0,0,0,0,2
18521,Guerraeterna,,3,0,3,3,0,3,0,0,0,0,0
18522,eduardosuarez,,3,0,3,3,0,3,0,0,0,0,5
18525,RedReconoce,,2,0,2,2,0,2,0,0,0,0,2
18526,conseyu_cmpa,,2,0,2,2,0,2,0,0,0,0,4
18528,miqueliceta,,3,0,3,3,0,3,0,0,0,0,0
18530,AmeliaValcarcel,,2,0,2,2,0,2,0,0,0,0,4
18533,aya_chebbi,,2,0,2,2,0,2,0,0,0,0,8
18534,gervasanchez,,3,0,3,3,0,3,0,0,0,0,0
18536,marklowen,,2,0,2,2,0,2,0,0,0,0,2
18537,llmhurtado,,2,0,2,2,0,2,0,0,0,0,6
18538,xavieraldekoa,,3,0,3,3,0,3,0,0,0,0,5
18539,daniInnerarity,,2,0,2,2,0,2,0,0,0,0,0
18540,GlblCtzn,,3,0,3,3,0,3,0,0,0,0,0
18542,coral_iscar,,2,0,2,2,0,2,0,0,0,0,1
18543,IAIonline,,2,0,2,2,0,2,0,0,0,0,1
18544,OECD_Social,,3,0,3,3,0,3,0,0,0,0,2
18545,AITOR_ESTEBAN,,2,0,2,2,0,2,0,0,0,0,0
18549,carlos__alsina,,2,0,2,2,0,2,0,0,0,0,0
18550,Public_Citizen,,2,0,2,2,0,2,0,0,0,0,8
18551,georgesoros,,2,0,2,2,0,2,0,0,0,0,3
18554,EnricJuliana,,2,0,2,2,0,2,0,0,0,0,4
18557,A_Gurria,,2,0,2,2,0,2,0,0,0,0,1
18561,NicolaSturgeon,,2,0,2,2,0,2,0,0,0,0,2
18562,USAIDEducation,,3,0,3,3,0,3,0,0,0,0,1
18563,UNICEFEducation,,3,0,3,3,0,3,0,0,0,0,1
18564,WBG_Education,,2,0,2,2,0,2,0,0,0,0,1
18565,GEMReport,,3,0,3,3,0,3,0,0,0,0,2
18566,CeylanWrites,,2,0,2,2,0,2,0,0,0,0,1
18567,mansuryavas06,,2,0,2,2,0,2,0,0,0,0,2
18569,herkesicinCHP,,2,0,2,2,0,2,0,0,0,0,2
18570,debatingeurope,,4,0,4,4,0,4,0,0,0,0,1
18571,iurquizu,,2,0,2,2,0,2,0,0,0,0,4
18573,a_nmilara,,2,0,2,2,0,2,0,0,0,0,0
18574,xpericay,,2,0,2,2,0,2,0,0,0,0,0
18577,IEMed_,,3,0,3,3,0,3,0,0,0,0,1
18579,ECThinkTank,,2,0,2,2,0,2,0,0,0,0,1
18580,AnnMettler,,2,0,2,2,0,2,0,0,0,0,1
18581,epc_eu,,3,0,3,3,0,3,0,0,0,0,1
18582,jaumecollboni,,2,0,2,2,0,2,0,0,0,0,2
18587,KarmenuVella,,3,0,3,3,0,3,0,0,0,0,1
18588,iescolar,,3,0,3,3,0,3,0,0,0,0,0
18590,rosamariaartal,,3,0,3,3,0,3,0,0,0,0,0
18591,LluisOrriols,,2,0,2,2,0,2,0,0,0,0,0
18592,AntoineGodbert,,4,0,4,4,0,4,0,0,0,0,1
18593,MalmstromEU,,3,0,3,3,0,3,0,0,0,0,1
18596,Be_Herrero,,3,0,3,3,0,3,0,0,0,0,1
18598,TerryReintke,,3,0,3,3,0,3,0,0,0,0,1
18599,Belen_Becerril,,3,0,3,3,0,3,0,0,0,0,1
18600,carlosecue,,3,0,3,3,0,3,0,0,0,0,4
18601,CantabriaEuropa,,4,0,4,4,0,4,0,0,0,0,1
18602,carlosp_romo,,2,0,2,2,0,2,0,0,0,0,1
18604,BridgeFoundatio,,2,0,2,2,0,2,0,0,0,0,1
18605,mbdeboer,,3,0,3,3,0,3,0,0,0,0,1
18606,CarolVazPires,,3,0,3,3,0,3,0,0,0,0,3
18608,sahagunfelipe,,2,0,2,2,0,2,0,0,0,0,4
18609,mavidonate,,2,0,2,2,0,2,0,0,0,0,5
18610,jitorreblanca,,3,0,3,3,0,3,0,0,0,0,1
18613,a_publica,,2,0,2,2,0,2,0,0,0,0,0
18617,_ignaciomolina,,2,0,2,2,0,2,0,0,0,0,0
18619,HaizamAmirah,,2,0,2,2,0,2,0,0,0,0,5
18623,Reuters,,4,0,4,4,0,4,0,0,0,0,1
18624,kikollan,,3,0,3,3,0,3,0,0,0,0,0
18625,jfalbertos,,2,0,2,2,0,2,0,0,0,0,0
18626,JorgeGalindo,,2,0,2,2,0,2,0,0,0,0,0
18628,TJagland,,2,0,2,2,0,2,0,0,0,0,1
18630,PDE_EDP,,2,0,2,2,0,2,0,0,0,0,1
18631,JHahnEU,,3,0,3,3,0,3,0,0,0,0,1
18633,IratxeGarper,,2,0,2,2,0,2,0,0,0,0,1
18634,ecfr,,3,0,3,3,0,3,0,0,0,0,1
18635,carlbildt,,3,0,3,3,0,3,0,0,0,0,1
18636,CESIYouth,,2,0,2,2,0,2,0,0,0,0,1
18637,Suanzes,,3,0,3,3,0,3,0,0,0,0,5
18638,MEugeniaRPalop,,2,0,2,2,0,2,0,0,0,0,6
18641,jduch,,3,0,3,3,0,3,0,0,0,0,1
18642,jcarmonaEP,,2,0,2,2,0,2,0,0,0,0,1
18643,SkaKeller,,3,0,3,3,0,3,0,0,0,0,1
18644,BilldeBlasio,,2,0,2,2,0,2,0,0,0,0,3
18646,ScoutingEurope,,2,0,2,2,0,2,0,0,0,0,1
18647,lugaricano,,2,0,2,2,0,2,0,0,0,0,4
18648,CANAE,,3,0,3,3,0,3,0,0,0,0,1
18649,meritxell_batet,,2,0,2,2,0,2,0,0,0,0,1
18650,RedSapdu,,2,0,2,2,0,2,0,0,0,0,1
18651,UeEspana,,3,0,3,3,0,3,0,0,0,0,5
18652,HablamosdEuropa,,4,0,4,4,0,4,0,0,0,0,1
18657,EmmanuelMacron,,4,0,4,4,0,4,0,0,0,0,1
18658,antoniocostapm,,2,0,2,2,0,2,0,0,0,0,1
18659,Servimedia,,3,0,3,3,0,3,0,0,0,0,0
18662,EduMadina,,3,0,3,3,0,3,0,0,0,0,0
18663,ECFRMadrid,,3,0,3,3,0,3,0,0,0,0,1
18664,esglobal_org,,2,0,2,2,0,2,0,0,0,0,0
18665,ManzanoCr,,2,0,2,2,0,2,0,0,0,0,0
18666,EP_ThinkTank,,3,0,3,3,0,3,0,0,0,0,1
18667,Dir_CEenEspana,,2,0,2,2,0,2,0,0,0,0,2
18670,ecfin,,3,0,3,3,0,3,0,0,0,0,1
18671,ekrem_imamoglu,,3,0,3,3,0,3,0,0,0,0,2
18673,CES_Europe,,2,0,2,2,0,2,0,0,0,0,1
18680,FinlandinEU,,3,0,3,3,0,3,0,0,0,0,1
18681,UNDGC_CSO,,2,0,2,2,0,2,0,0,0,0,2
18682,andresgil,,2,0,2,2,0,2,0,0,0,0,5
18683,polmorillas,,2,0,2,2,0,2,0,0,0,0,1
18684,alemannoEU,,3,0,3,3,0,3,0,0,0,0,1
18687,ErasmusFP,,2,0,2,2,0,2,0,0,0,0,4
18689,IBIAE,,2,0,2,2,0,2,0,0,0,0,1
18691,inglesportemas,,3,0,3,3,0,3,0,0,0,0,5
18692,RbrownSweat,,2,0,2,2,0,2,0,0,0,0,5
18693,carrusel,,3,0,3,3,0,3,0,0,0,0,1
18702,bbcle,,4,0,4,4,0,4,0,0,0,0,1
18703,porlainnovacion,,2,0,2,2,0,2,0,0,0,0,1
18704,skill_saga,,2,0,2,2,0,2,0,0,0,0,4
18707,UPVCampusAlcoy,,3,0,3,3,0,3,0,0,0,0,4
18708,UPVCampusGandia,,4,0,4,4,0,4,0,0,0,0,2
18709,CPInnovacion,,3,0,3,3,0,3,0,0,0,0,4
18715,CambridgeSpain,,3,0,3,3,0,3,0,0,0,0,4
18716,Diloeningles,,2,0,2,2,0,2,0,0,0,0,5
18717,termbank,,2,0,2,2,0,2,0,0,0,0,1
18718,UnimelEducacion,,4,0,4,4,0,4,0,0,0,0,1
18720,EducWeb,,2,0,2,2,0,2,0,0,0,0,1
18721,aulaPlaneta,,3,0,3,3,0,3,0,0,0,0,1
18722,psicopedia,,3,0,3,3,0,3,0,0,0,0,4
18724,psicologiamente,,2,0,2,2,0,2,0,0,0,0,1
18725,visconti_martin,,2,0,2,2,0,2,0,0,0,0,1
18727,itene,,2,0,2,2,0,2,0,0,0,0,1
18728,AIDIMME,,2,0,2,2,0,2,0,0,0,0,0
18734,OPEECanarias,,3,0,3,3,0,3,0,0,0,0,1
18755,Startup_VLC,,2,0,2,2,0,2,0,0,0,0,5
18757,EducatorMagUK,,2,0,2,2,0,2,0,0,0,0,1
18759,InglesABC,,2,0,2,2,0,2,0,0,0,0,5
18762,learnenglish121,,2,0,2,2,0,2,0,0,0,0,6
18763,InglesxPalabras,,3,0,3,3,0,3,0,0,0,0,6
18764,phrasalverbdmon,,3,0,3,3,0,3,0,0,0,0,0
18765,EllaLanguage,,2,0,2,2,0,2,0,0,0,0,4
18767,CAprenderIngles,,2,0,2,2,0,2,0,0,0,0,5
18770,NewtonLing,,2,0,2,2,0,2,0,0,0,0,1
18785,emprenemjunts,,3,0,3,3,0,3,0,0,0,0,4
18787,VITEmprende,,2,0,2,2,0,2,0,0,0,0,5
18789,ceeielche,,2,0,2,2,0,2,0,0,0,0,1
18791,focuspyme,,2,0,2,2,0,2,0,0,0,0,5
18792,camaravalencia,,2,0,2,2,0,2,0,0,0,0,1
18793,CDTIoficial,,3,0,3,3,0,3,0,0,0,0,1
18794,CEEICastellon,,2,0,2,2,0,2,0,0,0,0,1
18795,ceei,,2,0,2,2,0,2,0,0,0,0,1
18798,ceeivalencia,,3,0,3,3,0,3,0,0,0,0,4
18799,GVAeconomia,,2,0,2,2,0,2,0,0,0,0,1
18805,GetSetEnglish,,3,0,3,3,0,3,0,0,0,0,5
18806,cursoyesingles,,2,0,2,2,0,2,0,0,0,0,4
18807,inglesting,,2,0,2,2,0,2,0,0,0,0,5
18808,EDIC_Virovitica,,3,0,3,3,0,3,0,0,0,0,1
18809,EDIC_Cakovec,,3,0,3,3,0,3,0,0,0,0,1
18810,EDICKarlovac,,3,0,3,3,0,3,0,0,0,0,1
18811,ED_Bucuresti,,5,0,5,5,0,5,0,0,0,0,1
18812,ED_Novomesto,,4,0,4,4,0,4,0,0,0,0,1
18813,EDICNicosia,,3,0,3,3,0,3,0,0,0,0,1
18814,EUDirectBurgas,,5,0,5,5,0,5,0,0,0,0,1
18815,europeinfocentr,,4,0,4,4,0,4,0,0,0,0,1
18816,EDirectPorto,,7,0,7,7,0,7,0,0,0,0,7
18817,EDRRheinMain,,4,0,4,4,0,4,0,0,0,0,1
18818,europedirect1,,6,0,6,6,0,6,0,0,0,0,7
18819,EDLeipzig,,4,0,4,4,0,4,0,0,0,0,1
18820,europedirectulm,,4,0,4,4,0,4,0,0,0,0,1
18821,CIEDMinho,,6,0,6,6,0,6,0,0,0,0,7
18822,EDZ__UniKrems,,4,0,4,4,0,4,0,0,0,0,1
18823,europedirectxan,,4,0,4,4,0,4,0,0,0,0,1
18824,EDC_UNic,,4,0,4,4,0,4,0,0,0,0,1
18825,CIED_TSAT,,6,0,6,6,0,6,0,0,0,0,7
18826,EDArges,,4,0,4,4,0,4,0,0,0,0,1
18827,europedirectlar,,4,0,4,4,0,4,0,0,0,0,1
18828,EuropeDirectIPP,,6,0,6,6,0,6,0,0,0,0,7
18829,europedirectrus,,4,0,4,4,0,4,0,0,0,0,1
18830,EuropeDirectMM,,4,0,4,4,0,4,0,0,0,0,1
18831,EDWroclaw,,4,0,4,4,0,4,0,0,0,0,1
18832,EuropeDirectOL,,4,0,4,4,0,4,0,0,0,0,1
18833,EDTimisoara,,4,0,4,4,0,4,0,0,0,0,1
18834,EDBydgoszcz,,4,0,4,4,0,4,0,0,0,0,1
18835,novihori,,4,0,4,4,0,4,0,0,0,0,1
18836,EDCSliven,,4,0,4,4,0,4,0,0,0,0,1
18837,EDTorun,,4,0,4,4,0,4,0,0,0,0,1
18838,Aktiivinen,,4,0,4,4,0,4,0,0,0,0,1
18839,EURONETNETWORK,,3,0,3,3,0,3,0,0,0,0,1
18841,Junta_Educacion,,2,0,2,2,0,2,0,0,0,0,5
18842,InnovacionForm,,2,0,2,2,0,2,0,0,0,0,1
18846,lolaprieto,,2,0,2,2,0,2,0,0,0,0,6
18849,MorenoG_Agustin,,3,0,3,3,0,3,0,0,0,0,4
18852,InglesSila,,2,0,2,2,0,2,0,0,0,0,4
18854,averbaweek,,3,0,3,3,0,3,0,0,0,0,5
18855,AprenderInglesI,,2,0,2,2,0,2,0,0,0,0,1
18856,tuinglesdiario,,2,0,2,2,0,2,0,0,0,0,5
18857,telefonica_ed,,2,0,2,2,0,2,0,0,0,0,1
18859,ScolarTIC,,2,0,2,2,0,2,0,0,0,0,1
18862,GrupoVaughan,,3,0,3,3,0,3,0,0,0,0,2
18863,inglesaldia,,4,0,4,4,0,4,0,0,0,0,2
18877,alcoy,,2,0,2,2,0,2,0,0,0,0,1
18878,CopeAlcoy,,2,0,2,2,0,2,0,0,0,0,1
18880,RadioAlcoy,,2,0,2,2,0,2,0,0,0,0,1
18881,AjuntamentAlcoi,,2,0,2,2,0,2,0,0,0,0,1
18897,antonellabro,,2,0,2,2,0,2,0,0,0,0,1
18899,edudigital,,2,0,2,2,0,2,0,0,0,0,1
18901,UNIRResearch,,2,0,2,2,0,2,0,0,0,0,1
18905,LEGOIdeas,,2,0,2,2,0,2,0,0,0,0,1
18906,moodle,,2,0,2,2,0,2,0,0,0,0,6
18909,TheLEGOMovie,,2,0,2,2,0,2,0,0,0,0,2
18910,LEGO_Education,,3,0,3,3,0,3,0,0,0,0,1
18911,LEGO_Group,,3,0,3,3,0,3,0,0,0,0,3
18913,evamude,,2,0,2,2,0,2,0,0,0,0,1
18915,PantallasAmigas,,2,0,2,2,0,2,0,0,0,0,1
18917,C_CyberBullying,,2,0,2,2,0,2,0,0,0,0,1
18918,eduPLEmooc,,2,0,2,2,0,2,0,0,0,0,1
18920,abelardopardo,,2,0,2,2,0,2,0,0,0,0,1
18921,aulablog,,2,0,2,2,0,2,0,0,0,0,1
18922,eduteka,,3,0,3,3,0,3,0,0,0,0,1
18923,educanave,,2,0,2,2,0,2,0,0,0,0,1
18924,educa3_0,,3,0,3,3,0,3,0,0,0,0,1
18925,eetrespuntocero,,2,0,2,2,0,2,0,0,0,0,4
18926,docente2punto0,,4,0,4,4,0,4,0,0,0,0,1
18927,EducaAndInnova,,4,0,4,4,0,4,0,0,0,0,1
18928,enlight_ED,,5,0,5,5,0,5,0,0,0,0,4
18929,dreig,,3,0,3,3,0,3,0,0,0,0,0
18931,_escuela20,,4,0,4,4,0,4,0,0,0,0,1
18932,EDUCAWEB,,4,0,4,4,0,4,0,0,0,0,1
18934,educacionTIC,,4,0,4,4,0,4,0,0,0,0,1
18938,mashablemobile,,3,0,3,3,0,3,0,0,0,0,7
18941,futureshift,,3,0,3,3,0,3,0,0,0,0,1
18943,CeDeC_intef,,3,0,3,3,0,3,0,0,0,0,1
18944,clickclickclick,,3,0,3,3,0,3,0,0,0,0,1
18961,domian,,2,0,2,2,0,2,0,0,0,0,1
18975,titanic,,2,0,2,2,0,2,0,0,0,0,6
18976,zeitonline,,3,0,3,3,0,3,0,0,0,0,2
18982,noamchomskyT,,2,0,2,2,0,2,0,0,0,0,6
18988,1FSVMainz05,,2,0,2,2,0,2,0,0,0,0,6
18989,ZDF,,3,0,3,3,0,3,0,0,0,0,2
18993,residentadvisor,,2,0,2,2,0,2,0,0,0,0,6
18995,polizeiberlin,,2,0,2,2,0,2,0,0,0,0,6
19004,AhoraGranada,,6,0,6,6,0,6,0,0,0,0,6
19007,magdatrillo,,3,0,3,3,0,3,0,0,0,0,6
19015,DHB_Teams,,2,0,2,2,0,2,0,0,0,0,6
19016,ArcticMonkeys,,3,0,3,3,0,3,0,0,0,0,6
19020,NaWik,,2,0,2,2,0,2,0,0,0,0,6
19027,HumansOfLate,,2,0,2,2,0,2,0,0,0,0,6
19035,Siemens,,2,0,2,2,0,2,0,0,0,0,1
19038,wuv,,3,0,3,3,0,3,0,0,0,0,6
19047,greenpeace_de,,3,0,3,3,0,3,0,0,0,0,1
19068,Lufthansa_DE,,2,0,2,2,0,2,0,0,0,0,6
19083,PRDailyNews,,2,0,2,2,0,2,0,0,0,0,6
19084,PRNews,,3,0,3,3,0,3,0,0,0,0,6
19086,kressZwitscher,,3,0,3,3,0,3,0,0,0,0,6
19087,MEEDIA,,2,0,2,2,0,2,0,0,0,0,6
19107,saschalobo,,3,0,3,3,0,3,0,0,0,0,6
19110,anjaschneider,,2,0,2,2,0,2,0,0,0,0,6
19117,PanPotOFFICIAL,,2,0,2,2,0,2,0,0,0,0,6
19125,derspiegel,,2,0,2,2,0,2,0,0,0,0,6
19126,ZDFneo,,2,0,2,2,0,2,0,0,0,0,6
19128,heutejournal,,2,0,2,2,0,2,0,0,0,0,2
19129,Medium,,3,0,3,3,0,3,0,0,0,0,6
19131,DB_Info,,2,0,2,2,0,2,0,0,0,0,6
19151,IntOffice_h_da,,2,0,2,2,0,2,0,0,0,0,6
19154,chaosupdates,,2,0,2,2,0,2,0,0,0,0,6
19161,marcocarola,,3,0,3,3,0,3,0,0,0,0,6
19163,Paco_Osuna,,2,0,2,2,0,2,0,0,0,0,6
19168,extra3,,2,0,2,2,0,2,0,0,0,0,6
19175,Der_Postillon,,2,0,2,2,0,2,0,0,0,0,1
19207,nicfanciulli,,2,0,2,2,0,2,0,0,0,0,6
19208,Carl_Cox,,4,0,4,4,0,4,0,0,0,0,6
19209,dubfire,,3,0,3,3,0,3,0,0,0,0,6
19210,richiehawtin,,4,0,4,4,0,4,0,0,0,0,6
19211,IdaEngberg,,2,0,2,2,0,2,0,0,0,0,2
19212,ChrisLiebing,,2,0,2,2,0,2,0,0,0,0,6
19213,DrumcodeRecords,,2,0,2,2,0,2,0,0,0,0,6
19214,realAdamBeyer,,3,0,3,3,0,3,0,0,0,0,6
19217,AlanFitzpatrick,,2,0,2,2,0,2,0,0,0,0,6
19242,damitdasklaas,,2,0,2,2,0,2,0,0,0,0,2
19244,tagesschau,,2,0,2,2,0,2,0,0,0,0,6
19245,SPIEGEL_Wissen,,3,0,3,3,0,3,0,0,0,0,6
19246,ARTEde,,2,0,2,2,0,2,0,0,0,0,6
19247,dw_wissenschaft,,2,0,2,2,0,2,0,0,0,0,6
19248,spiegelonline,,2,0,2,2,0,2,0,0,0,0,2
19252,dpa,,2,0,2,2,0,2,0,0,0,0,6
19253,DIEZEIT,,2,0,2,2,0,2,0,0,0,0,6
19257,AuswaertigesAmt,,3,0,3,3,0,3,0,0,0,0,6
19258,RegSprecher,,3,0,3,3,0,3,0,0,0,0,1
19260,AsocAsprogrades,,2,0,2,2,0,2,0,0,0,0,6
19263,dnaim_,,3,0,3,3,0,3,0,0,0,0,0
19270,Alexvallejogcf,,2,0,2,2,0,2,0,0,0,0,6
19278,Caarliyos,,2,0,2,2,0,2,0,0,0,0,6
19282,JPriet43,,2,0,2,2,0,2,0,0,0,0,6
19287,criistiian_esp,,2,0,2,2,0,2,0,0,0,0,0
19288,adriiduee99,,3,0,3,3,0,3,0,0,0,0,6
19294,dopahi,,2,0,2,2,0,2,0,0,0,0,6
19300,BelenChirosa,,3,0,3,3,0,3,0,0,0,0,6
19304,srta_Niieeves,,2,0,2,2,0,2,0,0,0,0,6
19306,_mariadmedina,,2,0,2,2,0,2,0,0,0,0,6
19309,foxtves,,3,0,3,3,0,3,0,0,0,0,0
19310,Patrii_Jones,,3,0,3,3,0,3,0,0,0,0,6
19313,AMEstrellaGR,,4,0,4,4,0,4,0,0,0,0,0
19314,Pasionyestrella,,4,0,4,4,0,4,0,0,0,0,0
19315,JonatanJosaro,,2,0,2,2,0,2,0,0,0,0,6
19317,RoMuMo93,,2,0,2,2,0,2,0,0,0,0,0
19319,MSDGR97,,3,0,3,3,0,3,0,0,0,0,0
19322,mariomgr,,2,0,2,2,0,2,0,0,0,0,6
19337,flacosta34,,2,0,2,2,0,2,0,0,0,0,6
19341,GOnestini,,2,0,2,2,0,2,0,0,0,0,2
19342,FAMILIA_ALFA,,3,0,3,3,0,3,0,0,0,0,4
19349,HospitalariasGr,,2,0,2,2,0,2,0,0,0,0,6
19350,AgrupacionVR,,2,0,2,2,0,2,0,0,0,0,6
19352,hermandadsed,,2,0,2,2,0,2,0,0,0,0,6
19355,CEE_StaTeresa,,2,0,2,2,0,2,0,0,0,0,6
19357,SanJoseGuadix,,2,0,2,2,0,2,0,0,0,0,6
19360,Adrian_Alza,,2,0,2,2,0,2,0,0,0,0,6
19366,launovi_,,2,0,2,2,0,2,0,0,0,0,6
19374,FerroviariosGJ,,2,0,2,2,0,2,0,0,0,0,6
19378,granadaespasion,,3,0,3,3,0,3,0,0,0,0,6
19380,lidiiagonzalez,,2,0,2,2,0,2,0,0,0,0,6
19384,BlogCofradeGr,,3,0,3,3,0,3,0,0,0,0,6
19386,lalocuracofrade,,3,0,3,3,0,3,0,0,0,0,0
19390,FrikiLandy,,3,0,3,3,0,3,0,0,0,0,0
19391,LaFirmaCofrade,,3,0,3,3,0,3,0,0,0,0,0
19392,eeva_97,,2,0,2,2,0,2,0,0,0,0,6
19401,JorgeDirtyName,,2,0,2,2,0,2,0,0,0,0,6
19402,Resurreccion_Tr,,4,0,4,4,0,4,0,0,0,0,4
19403,catolicos_es,,3,0,3,3,0,3,0,0,0,0,6
19405,MirameTEA,,2,0,2,2,0,2,0,0,0,0,6
19407,ferroviarioscof,,5,0,5,5,0,5,0,0,0,0,4
19409,SaraAnguita3,,3,0,3,3,0,3,0,0,0,0,0
19413,GuionCofradeGra,,3,0,3,3,0,3,0,0,0,0,6
19414,Carlosjavi97,,4,0,4,4,0,4,0,0,0,0,3
19415,borriquillaypaz,,3,0,3,3,0,3,0,0,0,0,6
19418,JuventudLanzada,,3,0,3,3,0,3,0,0,0,0,6
19420,quieretemucho_,,2,0,2,2,0,2,0,0,0,0,4
19421,sanitas,,2,0,2,2,0,2,0,0,0,0,6
19422,HumildadGranada,,6,0,6,6,0,6,0,0,0,0,0
19427,elenagm_19,,2,0,2,2,0,2,0,0,0,0,6
19436,EspDeTriana,,2,0,2,2,0,2,0,0,0,0,6
19437,esCofrade_es,,3,0,3,3,0,3,0,0,0,0,6
19438,LanzadaGranada,,3,0,3,3,0,3,0,0,0,0,0
19442,Fran_Rodri_guez,,3,0,3,3,0,3,0,0,0,0,5
19449,StefaniiaEM,,2,0,2,2,0,2,0,0,0,0,3
19451,Tucuerpoenverso,,2,0,2,2,0,2,0,0,0,0,3
19455,EsAdolescencia,,3,0,3,3,0,3,0,0,0,0,5
19456,eres_mimundo,,2,0,2,2,0,2,0,0,0,0,6
19457,encapsulados,,2,0,2,2,0,2,0,0,0,0,6
19458,D_Finanzas,,2,0,2,2,0,2,0,0,0,0,6
19459,notemasalamor,,3,0,3,3,0,3,0,0,0,0,6
19461,JoseIgnacioCL,,2,0,2,2,0,2,0,0,0,0,5
19463,jeenniiBa11,,2,0,2,2,0,2,0,0,0,0,6
19464,Pinterest,,3,0,3,3,0,3,0,0,0,0,1
19465,CostaleroDeGR,,3,0,3,3,0,3,0,0,0,0,4
19466,chris_gr95,,2,0,2,2,0,2,0,0,0,0,6
19473,davidlaargoo,,2,0,2,2,0,2,0,0,0,0,6
19474,keepcalmandfxck,,2,0,2,2,0,2,0,0,0,0,6
19475,Alsa_autobuses,,3,0,3,3,0,3,0,0,0,0,6
19476,DeportesGD,,3,0,3,3,0,3,0,0,0,0,0
19477,Colejobs,,3,0,3,3,0,3,0,0,0,0,4
19478,FEGRADI,,4,0,4,4,0,4,0,0,0,0,0
19479,maestradepueblo,,3,0,3,3,0,3,0,0,0,0,5
19480,Academia10gr,,2,0,2,2,0,2,0,0,0,0,6
19481,jazztel_es,,3,0,3,3,0,3,0,0,0,0,0
