Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
198863,StephMcMahon,,2,0,2,2,0,2,0,0,0,0,2
198864,TripleH,,2,0,2,2,0,2,0,0,0,0,0
198865,StuBennett,,2,0,2,2,0,2,0,0,0,0,2
198866,HEELZiggler,,2,0,2,2,0,2,0,0,0,0,2
198868,BookerT5x,,2,0,2,2,0,2,0,0,0,0,2
198869,VinceMcMahon,,2,0,2,2,0,2,0,0,0,0,2
198870,WWECesaro,,2,0,2,2,0,2,0,0,0,0,2
198871,AJStylesOrg,,3,0,3,3,0,3,0,0,0,0,6
198873,IAmJericho,,2,0,2,2,0,2,0,0,0,0,2
198874,HeymanHustle,,2,0,2,2,0,2,0,0,0,0,2
198876,CMPunk,,2,0,2,2,0,2,0,0,0,0,2
198877,SamoaJoe,,2,0,2,2,0,2,0,0,0,0,2
198878,steveaustinBSR,,2,0,2,2,0,2,0,0,0,0,2
198879,JRsBBQ,,2,0,2,2,0,2,0,0,0,0,2
198880,BretHart,,2,0,2,2,0,2,0,0,0,0,2
199167,ZombieRiot,,2,0,2,2,0,2,0,0,0,0,7
199171,SamAntonioPhoto,,2,0,2,2,0,2,0,0,0,0,7
199172,jan_maklak,,2,0,2,2,0,2,0,0,0,0,6
199173,DaveVescio,,3,0,3,3,0,3,0,0,0,0,2
199176,YoungBossSwagg,,2,0,2,2,0,2,0,0,0,0,2
199249,databricks,,2,0,2,2,0,2,0,0,0,0,8
199477,VACAYMUSIC,,2,0,2,2,0,2,0,0,0,0,7
199518,VolandEdizioni,,2,0,2,2,0,2,0,0,0,0,3
199519,GuandaEditore,,2,0,2,2,0,2,0,0,0,0,3
199520,Marcoseditore,,3,0,3,3,0,3,0,0,0,0,3
199521,LibriLonganesi,,3,0,3,3,0,3,0,0,0,0,3
199522,wuzlibri,,2,0,2,2,0,2,0,0,0,0,2
199523,LibrInnovando,,2,0,2,2,0,2,0,0,0,0,3
199524,LibriamoTutti,,2,0,2,2,0,2,0,0,0,0,3
199525,Giuditta_legge,,2,0,2,2,0,2,0,0,0,0,3
199526,iCulTweet,,3,0,3,3,0,3,0,0,0,0,3
199730,CarlosAndres002,,2,0,2,2,0,2,0,0,0,0,6
199744,MexicoPost,,2,0,2,2,0,2,0,0,0,0,4
199884,SurreyInt,,2,0,2,2,0,2,0,0,0,0,1
200169,200BlockMusic,,2,0,2,2,0,2,0,0,0,0,2
200463,ActorsAccess,,2,0,2,2,0,2,0,0,0,0,2
200815,khamenei_ir,,3,0,3,3,0,3,0,0,0,0,2
200816,verynetwork,,2,0,2,2,0,2,0,0,0,0,7
200822,waitrose,,3,0,3,3,0,3,0,0,0,0,2
201020,BealeStreetMphs,,2,0,2,2,0,2,0,0,0,0,1
201040,raulitod,,2,0,2,2,0,2,0,0,0,0,6
201196,sibamachado13,,2,0,2,2,0,2,0,0,0,0,6
201200,beatandmix,,2,0,2,2,0,2,0,0,0,0,3
201423,_Maha_Mtmr,,2,0,2,2,0,2,0,0,0,0,8
201591,PaolaMarinone,,2,0,2,2,0,2,0,0,0,0,3
201628,EseJapan,,2,0,2,2,0,2,0,0,0,0,6
201648,davidwalliams,,3,0,3,3,0,3,0,0,0,0,2
201651,MarcuscollinsUK,,2,0,2,2,0,2,0,0,0,0,2
201653,MattCardle,,2,0,2,2,0,2,0,0,0,0,2
201708,mediargh,,2,0,2,2,0,2,0,0,0,0,2
201713,DrWayneWDyer,,2,0,2,2,0,2,0,0,0,0,2
201716,LouiseHay,,2,0,2,2,0,2,0,0,0,0,2
201717,DeepakChopra,,3,0,3,3,0,3,0,0,0,0,2
201746,BOTStartup,,2,0,2,2,0,2,0,0,0,0,3
201829,SerbianPM,,2,0,2,2,0,2,0,0,0,0,1
201864,masheenka,,2,0,2,2,0,2,0,0,0,0,2
202006,YouthPost2015,,2,0,2,2,0,2,0,0,0,0,1
202032,ConstitutionNet,,2,0,2,2,0,2,0,0,0,0,1
202033,onMogul,,2,0,2,2,0,2,0,0,0,0,2
202043,schuh,,2,0,2,2,0,2,0,0,0,0,2
202060,Edinburgh_CC,,2,0,2,2,0,2,0,0,0,0,0
202070,2K_UK,,2,0,2,2,0,2,0,0,0,0,2
202093,Iheartanimalss,,2,0,2,2,0,2,0,0,0,0,6
202115,XtraGrass,,2,0,2,2,0,2,0,0,0,0,1
202134,toprank,,2,0,2,2,0,2,0,0,0,0,2
202147,TheWalkingDead,,3,0,3,3,0,3,0,0,0,0,2
202185,ImpulsandoArg,,2,0,2,2,0,2,0,0,0,0,0
202240,TopGangas10,,2,0,2,2,0,2,0,0,0,0,0
202283,Rrruffler,,2,0,2,2,0,2,0,0,0,0,2
202288,ManageFlitter,,2,0,2,2,0,2,0,0,0,0,4
202292,48ISFF,,2,0,2,2,0,2,0,0,0,0,2
202297,Jolly_Goods,,2,0,2,2,0,2,0,0,0,0,0
202372,clickzlive,,2,0,2,2,0,2,0,0,0,0,2
202419,DJEU,,2,0,2,2,0,2,0,0,0,0,2
202463,UChicagoPress,,2,0,2,2,0,2,0,0,0,0,2
202704,MiguelPose,,2,0,2,2,0,2,0,0,0,0,6
202780,FootyML,,2,0,2,2,0,2,0,0,0,0,2
202806,djbeeofficial,,2,0,2,2,0,2,0,0,0,0,6
202950,Britopian,,2,0,2,2,0,2,0,0,0,0,7
203137,d2dmusiconline,,3,0,3,3,0,3,0,0,0,0,3
203189,marbellaworlddj,,2,0,2,2,0,2,0,0,0,0,0
203237,chicago_blog,,2,0,2,2,0,2,0,0,0,0,3
203384,AlexiSafarikas,,2,0,2,2,0,2,0,0,0,0,0
203400,andreaarriagamx,,2,0,2,2,0,2,0,0,0,0,2
203422,VictorManriqueY,,2,0,2,2,0,2,0,0,0,0,0
203433,ezekiel,,2,0,2,2,0,2,0,0,0,0,3
203456,MaxGonalons,,2,0,2,2,0,2,0,0,0,0,5
203459,clemgrenier,,2,0,2,2,0,2,0,0,0,0,2
203670,TimesFashion,,3,0,3,3,0,3,0,0,0,0,2
203789,Turcatosaure,,2,0,2,2,0,2,0,0,0,0,1
203824,gtaank,,2,0,2,2,0,2,0,0,0,0,3
203941,KINGRPG,,2,0,2,2,0,2,0,0,0,0,4
204140,grimygoods,,2,0,2,2,0,2,0,0,0,0,2
204259,big_picture,,2,0,2,2,0,2,0,0,0,0,4
204275,blogaction_,,2,0,2,2,0,2,0,0,0,0,1
204286,GastronomyBlog,,2,0,2,2,0,2,0,0,0,0,2
204299,TheBigPharaoh,,2,0,2,2,0,2,0,0,0,0,2
204416,B_VanKleef,,2,0,2,2,0,2,0,0,0,0,2
204503,forrester,,3,0,3,3,0,3,0,0,0,0,2
204529,DanSiepen,,2,0,2,2,0,2,0,0,0,0,4
204533,VentureInATL,,2,0,2,2,0,2,0,0,0,0,1
204554,matthewtoren,,2,0,2,2,0,2,0,0,0,0,2
204565,handshakin,,2,0,2,2,0,2,0,0,0,0,2
204631,AvosFromMexico,,2,0,2,2,0,2,0,0,0,0,0
204633,Hadithoftheday,,2,0,2,2,0,2,0,0,0,0,2
204642,ermar6,,2,0,2,2,0,2,0,0,0,0,2
204692,1004COREA,,2,0,2,2,0,2,0,0,0,0,2
204756,JoeManganiello,,3,0,3,3,0,3,0,0,0,0,2
204760,AnnaPaquin,,2,0,2,2,0,2,0,0,0,0,2
204761,SamTrammell,,2,0,2,2,0,2,0,0,0,0,2
204762,DeborahAnnWoll,,3,0,3,3,0,3,0,0,0,0,2
204837,Getback_Records,,2,0,2,2,0,2,0,0,0,0,6
204946,WhiteNoize_Mag,,2,0,2,2,0,2,0,0,0,0,0
205031,CA_Avocados,,2,0,2,2,0,2,0,0,0,0,0
205047,MSCintheUK,,2,0,2,2,0,2,0,0,0,0,1
205245,colindonnell,,2,0,2,2,0,2,0,0,0,0,2
205365,MPManagmentChi,,2,0,2,2,0,2,0,0,0,0,0
205498,WadeBowen,,2,0,2,2,0,2,0,0,0,0,0
205511,TXmusicTV,,2,0,2,2,0,2,0,0,0,0,0
205803,StartUp_Invest,,2,0,2,2,0,2,0,0,0,0,1
205812,J_Lewandowski,,2,0,2,2,0,2,0,0,0,0,1
205813,ArmandRyfinski,,2,0,2,2,0,2,0,0,0,0,3
205814,mkabacinski,,2,0,2,2,0,2,0,0,0,0,3
205815,LukaszGibala,,2,0,2,2,0,2,0,0,0,0,3
205816,rozathun,,2,0,2,2,0,2,0,0,0,0,3
205817,BarbaraKudrycka,,3,0,3,3,0,3,0,0,0,0,3
205820,PawelOlszewski,,2,0,2,2,0,2,0,0,0,0,3
205821,pomaska,,2,0,2,2,0,2,0,0,0,0,3
205822,SlawomirNitras,,2,0,2,2,0,2,0,0,0,0,3
205823,mareksiwiec,,2,0,2,2,0,2,0,0,0,0,3
205825,ZalewskiPawel,,2,0,2,2,0,2,0,0,0,0,3
205826,AdamBielan,,2,0,2,2,0,2,0,0,0,0,3
205827,pawelkowalpl,,2,0,2,2,0,2,0,0,0,0,3
205828,TomaszSiemoniak,,2,0,2,2,0,2,0,0,0,0,3
205829,kosinskik,,2,0,2,2,0,2,0,0,0,0,3
205830,Piechocinski,,2,0,2,2,0,2,0,0,0,0,3
205831,trzaskowski_,,3,0,3,3,0,3,0,0,0,0,3
205832,KosiniakKamysz,,2,0,2,2,0,2,0,0,0,0,3
205833,SlawekNeumann,,2,0,2,2,0,2,0,0,0,0,3
205834,LenaBobinska,,2,0,2,2,0,2,0,0,0,0,3
205835,RTyszkiewicz,,2,0,2,2,0,2,0,0,0,0,3
205837,joannakluzik,,2,0,2,2,0,2,0,0,0,0,3
205839,AndrzejHalicki,,2,0,2,2,0,2,0,0,0,0,3
205841,artur_debski,,2,0,2,2,0,2,0,0,0,0,3
205844,ARozenek,,2,0,2,2,0,2,0,0,0,0,3
205847,krytyka,,3,0,3,3,0,3,0,0,0,0,1
205848,MSN_Warszawa,,3,0,3,3,0,3,0,0,0,0,3
205849,kultliberalna,,2,0,2,2,0,2,0,0,0,0,1
205851,dwutygodnik,,2,0,2,2,0,2,0,0,0,0,1
205852,LubimyczytacPL,,2,0,2,2,0,2,0,0,0,0,1
205853,WydawcaIskry,,2,0,2,2,0,2,0,0,0,0,1
205854,Erica_Books,,2,0,2,2,0,2,0,0,0,0,1
205855,WydawnictwoZnak,,2,0,2,2,0,2,0,0,0,0,1
205857,wydmuza,,2,0,2,2,0,2,0,0,0,0,1
205858,zeszyty,,2,0,2,2,0,2,0,0,0,0,1
205861,SmakSlowa,,3,0,3,3,0,3,0,0,0,0,1
205862,ImpulsOficyna,,2,0,2,2,0,2,0,0,0,0,1
205863,wydlit,,2,0,2,2,0,2,0,0,0,0,1
205864,MuzeumLiter,,2,0,2,2,0,2,0,0,0,0,1
205866,bibliosfera,,2,0,2,2,0,2,0,0,0,0,1
205868,wolnelektury,,3,0,3,3,0,3,0,0,0,0,1
205869,poczytalnia,,2,0,2,2,0,2,0,0,0,0,1
205874,liternetpl,,2,0,2,2,0,2,0,0,0,0,1
205898,taraluiandrei,,2,0,2,2,0,2,0,0,0,0,1
205917,MKierwinski,,2,0,2,2,0,2,0,0,0,0,3
205946,3scale,,2,0,2,2,0,2,0,0,0,0,1
205953,TammyGaines1,,2,0,2,2,0,2,0,0,0,0,2
206112,twitraum,,2,0,2,2,0,2,0,0,0,0,2
206141,marsinthestars,,2,0,2,2,0,2,0,0,0,0,1
206185,leonardofed,,2,0,2,2,0,2,0,0,0,0,3
206373,WardPlunet,,2,0,2,2,0,2,0,0,0,0,6
206550,PlaybuzzBiz,,2,0,2,2,0,2,0,0,0,0,2
206571,HelloRobin8,,2,0,2,2,0,2,0,0,0,0,3
206601,ASSEofficiel,,2,0,2,2,0,2,0,0,0,0,8
206691,ibizaislanders,,2,0,2,2,0,2,0,0,0,0,2
206706,betcfullsix,,2,0,2,2,0,2,0,0,0,0,7
206710,TBWA_PARIS,,2,0,2,2,0,2,0,0,0,0,0
206713,MarcelAgency,,2,0,2,2,0,2,0,0,0,0,7
206715,culturepub,,2,0,2,2,0,2,0,0,0,0,8
206722,nicolasbordas,,2,0,2,2,0,2,0,0,0,0,8
206725,freshbusiness,,2,0,2,2,0,2,0,0,0,0,2
206729,ukbf_finds,,2,0,2,2,0,2,0,0,0,0,2
206732,BizMattersmag,,2,0,2,2,0,2,0,0,0,0,2
206754,Cardenas_Lu,,2,0,2,2,0,2,0,0,0,0,1
206759,peterc,,2,0,2,2,0,2,0,0,0,0,8
206767,learningcode,,2,0,2,2,0,2,0,0,0,0,3
206768,girldevelopit,,3,0,3,3,0,3,0,0,0,0,2
206769,WITWomen,,3,0,3,3,0,3,0,0,0,0,1
206777,balderton,,2,0,2,2,0,2,0,0,0,0,1
206778,IndexVentures,,2,0,2,2,0,2,0,0,0,0,1
206782,usv,,2,0,2,2,0,2,0,0,0,0,1
206982,Tweet_Clements,,2,0,2,2,0,2,0,0,0,0,0
207010,RamboDonkeyKong,,2,0,2,2,0,2,0,0,0,0,2
207312,InsideOutUSA,,2,0,2,2,0,2,0,0,0,0,2
207372,kensho_twit,,2,0,2,2,0,2,0,0,0,0,6
207964,GreenFieldsTurf,,2,0,2,2,0,2,0,0,0,0,1
207995,BenjaminDiCosta,,2,0,2,2,0,2,0,0,0,0,5
208103,armandopinedob,,2,0,2,2,0,2,0,0,0,0,0
208129,mykingdommusic,,2,0,2,2,0,2,0,0,0,0,2
208134,ProperRecords,,2,0,2,2,0,2,0,0,0,0,3
208164,ekremdumanli,,3,0,3,3,0,3,0,0,0,0,2
208169,erhan_basyurt,,2,0,2,2,0,2,0,0,0,0,2
208170,farukmercan,,3,0,3,3,0,3,0,0,0,0,2
208171,bulent_korucu,,2,0,2,2,0,2,0,0,0,0,2
208172,TarikToros,,2,0,2,2,0,2,0,0,0,0,2
208173,ademyavuza,,2,0,2,2,0,2,0,0,0,0,2
208174,myikar,,2,0,2,2,0,2,0,0,0,0,2
208175,ahamitbilici,,2,0,2,2,0,2,0,0,0,0,2
208177,bkenes,,2,0,2,2,0,2,0,0,0,0,2
208180,ihsanylmz,,2,0,2,2,0,2,0,0,0,0,2
208186,mahmutakpinar1,,2,0,2,2,0,2,0,0,0,0,2
208205,gs1905gs____,,2,0,2,2,0,2,0,0,0,0,2
208343,elatraverse,,2,0,2,2,0,2,0,0,0,0,1
208426,amwithenshaw,,2,0,2,2,0,2,0,0,0,0,0
208453,NEA,,2,0,2,2,0,2,0,0,0,0,1
208514,letsgro050,,2,0,2,2,0,2,0,0,0,0,2
208518,De_Zwijger,,2,0,2,2,0,2,0,0,0,0,1
208608,stephenorban,,2,0,2,2,0,2,0,0,0,0,2
208689,PolyCompany,,2,0,2,2,0,2,0,0,0,0,3
208690,TreehuggerTwo,,2,0,2,2,0,2,0,0,0,0,1
208691,Earthjustice,,2,0,2,2,0,2,0,0,0,0,1
208692,PlanetGreen,,2,0,2,2,0,2,0,0,0,0,2
208693,Treehugger,,3,0,3,3,0,3,0,0,0,0,2
208694,grist,,2,0,2,2,0,2,0,0,0,0,2
208695,NRDC,,2,0,2,2,0,2,0,0,0,0,1
208697,billmckibben,,2,0,2,2,0,2,0,0,0,0,2
208698,CFigueres,,2,0,2,2,0,2,0,0,0,0,1
208699,RenewablesNews,,3,0,3,3,0,3,0,0,0,0,1
208700,ASES_Solar,,3,0,3,3,0,3,0,0,0,0,1
208701,SolarEdgePV,,2,0,2,2,0,2,0,0,0,0,3
208706,WorldResources,,3,0,3,3,0,3,0,0,0,0,2
208787,Siemens_Energy,,2,0,2,2,0,2,0,0,0,0,6
208799,SEIresearch,,2,0,2,2,0,2,0,0,0,0,1
208816,EEFinancing,,3,0,3,3,0,3,0,0,0,0,8
208840,IndianStarrtups,,2,0,2,2,0,2,0,0,0,0,3
208841,kamyuno,,2,0,2,2,0,2,0,0,0,0,7
208882,SkylarGrey,,2,0,2,2,0,2,0,0,0,0,2
208883,ElectronicaMX,,2,0,2,2,0,2,0,0,0,0,2
208894,gwengl333,,2,0,2,2,0,2,0,0,0,0,0
208901,christinaperri,,3,0,3,3,0,3,0,0,0,0,2
208908,ArenaCdMexico,,2,0,2,2,0,2,0,0,0,0,4
208968,CapitalOfficial,,2,0,2,2,0,2,0,0,0,0,2
208990,Gods1337,,2,0,2,2,0,2,0,0,0,0,2
209001,mundialdemusica,,2,0,2,2,0,2,0,0,0,0,0
209004,SixFlagsMexico,,3,0,3,3,0,3,0,0,0,0,0
209016,Popjustice,,3,0,3,3,0,3,0,0,0,0,3
209017,StevenTuma,,2,0,2,2,0,2,0,0,0,0,7
209150,CCPeruBrasil,,2,0,2,2,0,2,0,0,0,0,6
209191,Ali__CBA,,2,0,2,2,0,2,0,0,0,0,2
209319,UNCnsfp,,2,0,2,2,0,2,0,0,0,0,3
209332,unccollege,,2,0,2,2,0,2,0,0,0,0,1
209333,uncstudyabroad,,3,0,3,3,0,3,0,0,0,0,1
209337,UNCHussman,,2,0,2,2,0,2,0,0,0,0,1
209345,unccgi,,2,0,2,2,0,2,0,0,0,0,3
209426,tatyanagrayblog,,2,0,2,2,0,2,0,0,0,0,3
209443,dcancel,,2,0,2,2,0,2,0,0,0,0,4
209444,AaronTschirhart,,2,0,2,2,0,2,0,0,0,0,7
209454,trueventures,,2,0,2,2,0,2,0,0,0,0,1
209456,robinklein,,2,0,2,2,0,2,0,0,0,0,2
209605,pieterpeelen,,2,0,2,2,0,2,0,0,0,0,2
209701,TAB_EN,,2,0,2,2,0,2,0,0,0,0,2
209791,syracusedotcom,,2,0,2,2,0,2,0,0,0,0,2
209857,dose,,2,0,2,2,0,2,0,0,0,0,8
210037,geopolytica,,2,0,2,2,0,2,0,0,0,0,2
210042,SoundExchange,,2,0,2,2,0,2,0,0,0,0,2
210054,davehakkens,,2,0,2,2,0,2,0,0,0,0,2
210140,KateUpton,,2,0,2,2,0,2,0,0,0,0,5
210141,gunitbrand,,2,0,2,2,0,2,0,0,0,0,2
210223,AmberRun,,2,0,2,2,0,2,0,0,0,0,1
210279,coolcatteacher,,3,0,3,3,0,3,0,0,0,0,1
210280,courosa,,3,0,3,3,0,3,0,0,0,0,1
210281,web20classroom,,3,0,3,3,0,3,0,0,0,0,1
210297,MSTheater,,2,0,2,2,0,2,0,0,0,0,0
210301,LALIVE,,2,0,2,2,0,2,0,0,0,0,2
210302,SoCalPulse,,2,0,2,2,0,2,0,0,0,0,2
210303,LAWeeklyStreet,,2,0,2,2,0,2,0,0,0,0,2
210304,LAasSubject,,2,0,2,2,0,2,0,0,0,0,2
210305,discoverLA,,2,0,2,2,0,2,0,0,0,0,2
210306,GrandPark_LA,,2,0,2,2,0,2,0,0,0,0,2
210307,TheLAScene,,2,0,2,2,0,2,0,0,0,0,2
210308,LA_Now,,2,0,2,2,0,2,0,0,0,0,2
210310,downtownartwalk,,2,0,2,2,0,2,0,0,0,0,2
210311,LAhistory,,2,0,2,2,0,2,0,0,0,0,2
210312,downtown_la,,2,0,2,2,0,2,0,0,0,0,2
210313,EncinoPatch,,2,0,2,2,0,2,0,0,0,0,2
210315,shermanoaksCC,,2,0,2,2,0,2,0,0,0,0,2
210317,officialnoho,,2,0,2,2,0,2,0,0,0,0,2
210318,DowntownNews,,2,0,2,2,0,2,0,0,0,0,2
210319,LAObserved,,2,0,2,2,0,2,0,0,0,0,2
210320,GoToNoHo,,2,0,2,2,0,2,0,0,0,0,2
210321,theSFVscoop,,2,0,2,2,0,2,0,0,0,0,2
210322,ShermanOakPatch,,2,0,2,2,0,2,0,0,0,0,2
210323,WestSFValley,,2,0,2,2,0,2,0,0,0,0,2
210324,SFValleyblog,,2,0,2,2,0,2,0,0,0,0,2
210325,LATimescitybeat,,2,0,2,2,0,2,0,0,0,0,2
210326,TheVenturablvd,,2,0,2,2,0,2,0,0,0,0,2
210329,SC_Chamber,,2,0,2,2,0,2,0,0,0,0,2
210330,TheStudiocity,,2,0,2,2,0,2,0,0,0,0,2
210331,OurVenturaBlvd,,2,0,2,2,0,2,0,0,0,0,2
210395,SkyNewsAust,,2,0,2,2,0,2,0,0,0,0,6
210429,jonathanvswan,,2,0,2,2,0,2,0,0,0,0,2
210534,burhand09,,2,0,2,2,0,2,0,0,0,0,6
210535,gialele,,2,0,2,2,0,2,0,0,0,0,3
210606,zsllondonzoo,,2,0,2,2,0,2,0,0,0,0,1
210649,DenisVegaART,,2,0,2,2,0,2,0,0,0,0,5
210805,DunesIbiza,,2,0,2,2,0,2,0,0,0,0,2
210923,Newsies,,2,0,2,2,0,2,0,0,0,0,0
210969,RCMLondon,,2,0,2,2,0,2,0,0,0,0,1
210987,MusicCenterLA,,2,0,2,2,0,2,0,0,0,0,2
210990,MMMClass,,2,0,2,2,0,2,0,0,0,0,0
211031,home_assistant,,2,0,2,2,0,2,0,0,0,0,3
211035,anacondainc,,3,0,3,3,0,3,0,0,0,0,3
211064,Curalate,,2,0,2,2,0,2,0,0,0,0,2
211067,CAP_UCLA,,2,0,2,2,0,2,0,0,0,0,2
211100,mugeezxmugeez,,2,0,2,2,0,2,0,0,0,0,2
211273,Noahpinion,,2,0,2,2,0,2,0,0,0,0,1
211282,BenjaminHarvey,,2,0,2,2,0,2,0,0,0,0,2
211350,myurow,,2,0,2,2,0,2,0,0,0,0,2
211358,JavierBlas,,2,0,2,2,0,2,0,0,0,0,2
211375,BloombergCities,,3,0,3,3,0,3,0,0,0,0,1
211484,OdeCarvalho,,2,0,2,2,0,2,0,0,0,0,2
211492,Ihamma_1,,2,0,2,2,0,2,0,0,0,0,2
211547,greenblut_kris,,2,0,2,2,0,2,0,0,0,0,1
211674,GeberConsulting,,2,0,2,2,0,2,0,0,0,0,3
211691,BGOV,,2,0,2,2,0,2,0,0,0,0,6
211694,BloombergDotOrg,,2,0,2,2,0,2,0,0,0,0,1
211696,bopinion,,2,0,2,2,0,2,0,0,0,0,0
211697,Bloomberg,,3,0,3,3,0,3,0,0,0,0,2
211750,veterantraveler,,2,0,2,2,0,2,0,0,0,0,3
211820,danlew,,2,0,2,2,0,2,0,0,0,0,2
211824,startupturkey,,3,0,3,3,0,3,0,0,0,0,3
211830,1timstreet,,2,0,2,2,0,2,0,0,0,0,2
211894,NewClimateEcon,,2,0,2,2,0,2,0,0,0,0,1
211903,IPC_IG,,2,0,2,2,0,2,0,0,0,0,2
211985,growthfaculty,,2,0,2,2,0,2,0,0,0,0,2
211990,allsecretmarket,,2,0,2,2,0,2,0,0,0,0,0
212001,SEO_Mktg_Tips,,3,0,3,3,0,3,0,0,0,0,7
212006,KPMGTechGrowth,,2,0,2,2,0,2,0,0,0,0,1
212042,sotrender,,2,0,2,2,0,2,0,0,0,0,1
212070,ResonanceJazz,,2,0,2,2,0,2,0,0,0,0,4
212115,Roadrunner_UK,,2,0,2,2,0,2,0,0,0,0,2
212189,the_shift_music,,2,0,2,2,0,2,0,0,0,0,7
212219,ProdDopeBoi,,2,0,2,2,0,2,0,0,0,0,0
212220,illestBeatMaker,,2,0,2,2,0,2,0,0,0,0,6
212222,TWBeats,,2,0,2,2,0,2,0,0,0,0,6
212717,EventbriteUK,,2,0,2,2,0,2,0,0,0,0,0
212720,EgoiPlatform,,2,0,2,2,0,2,0,0,0,0,4
212734,Trafico,,3,0,3,3,0,3,0,0,0,0,2
212735,traficovv,,3,0,3,3,0,3,0,0,0,0,0
212736,EUtrafico,,3,0,3,3,0,3,0,0,0,0,2
212737,EnConexionWeb,,2,0,2,2,0,2,0,0,0,0,2
212738,traffiCARACAS,,2,0,2,2,0,2,0,0,0,0,2
212743,ken_y_official,,2,0,2,2,0,2,0,0,0,0,0
212746,alexisyfido,,3,0,3,3,0,3,0,0,0,0,2
212747,rkmykeny,,3,0,3,3,0,3,0,0,0,0,6
212748,zionylennoxpr,,3,0,3,3,0,3,0,0,0,0,6
212749,PLANBLIVE,,3,0,3,3,0,3,0,0,0,0,6
212750,FarrukoOfficial,,3,0,3,3,0,3,0,0,0,0,6
212751,jkingymaximan,,3,0,3,3,0,3,0,0,0,0,6
212756,DeLaGhettoReal,,3,0,3,3,0,3,0,0,0,0,6
212757,ArcangelPrrra,,3,0,3,3,0,3,0,0,0,0,2
212759,_musicologo,,2,0,2,2,0,2,0,0,0,0,2
212760,jowell1,,3,0,3,3,0,3,0,0,0,0,2
212771,joryreal,,2,0,2,2,0,2,0,0,0,0,6
212774,Randynotaloca,,3,0,3,3,0,3,0,0,0,0,2
212901,DavidGalavants,,2,0,2,2,0,2,0,0,0,0,7
213048,AnaheimDucks,,2,0,2,2,0,2,0,0,0,0,2
213058,SanJosePD,,2,0,2,2,0,2,0,0,0,0,2
213160,Caltrain,,2,0,2,2,0,2,0,0,0,0,2
213174,WildCaboTours,,2,0,2,2,0,2,0,0,0,0,4
213264,gilbertlefunk,,2,0,2,2,0,2,0,0,0,0,6
213319,umusic,,2,0,2,2,0,2,0,0,0,0,2
213432,TomorrowlandSPA,,2,0,2,2,0,2,0,0,0,0,2
213434,ElectMusicSpain,,3,0,3,3,0,3,0,0,0,0,6
213464,Divergent,,2,0,2,2,0,2,0,0,0,0,2
213466,iamclintmansell,,2,0,2,2,0,2,0,0,0,0,6
213479,PorcelainBlack,,2,0,2,2,0,2,0,0,0,0,3
213481,TheFray,,2,0,2,2,0,2,0,0,0,0,2
213514,AmyLeeEV,,3,0,3,3,0,3,0,0,0,0,3
213516,marilynmanson,,2,0,2,2,0,2,0,0,0,0,3
213520,michaelcalfan,,3,0,3,3,0,3,0,0,0,0,6
213526,younghollywood,,3,0,3,3,0,3,0,0,0,0,2
213549,curtsmith,,2,0,2,2,0,2,0,0,0,0,2
213551,gerardway,,2,0,2,2,0,2,0,0,0,0,2
213573,clockwork,,2,0,2,2,0,2,0,0,0,0,2
213594,TheEchoLA,,2,0,2,2,0,2,0,0,0,0,2
213604,HAIMtheband,,2,0,2,2,0,2,0,0,0,0,2
213625,robynkonichiwa,,3,0,3,3,0,3,0,0,0,0,5
213663,MarvinHumes,,2,0,2,2,0,2,0,0,0,0,2
213693,erikhassle,,2,0,2,2,0,2,0,0,0,0,2
213695,HYPEBEAST,,2,0,2,2,0,2,0,0,0,0,2
213734,DallasK,,2,0,2,2,0,2,0,0,0,0,2
213735,itsDannyJones,,2,0,2,2,0,2,0,0,0,0,2
